id,area,station,lastMeasurement,components,latitude,longitude
7,Oslo,Alnabru,2021-09-06T09:00:00+01:00,"PM2.5,PM10,PM1,NOx,NO2,NO",59.92769,10.84655
1152,Oslo,Bryn skole,2021-09-06T09:00:00+01:00,"PM2.5,PM10,NOx,NO2,NO",59.91416,10.82472
464,Oslo,Bygdøy Alle,2021-09-06T09:00:00+01:00,"PM2.5,PM10,PM1,NOx,NO2,NO",59.9193,10.69651
1140,Oslo,E6 Alna senter,2021-09-06T09:00:00+01:00,"PM2.5,PM10,NOx,NO2,NO",59.92556,10.850367
665,Oslo,Hjortnes,2021-09-06T09:00:00+01:00,"PM2.5,PM10,NOx,NO2,NO",59.91126,10.70398
9,Oslo,Kirkeveien,2021-09-06T09:00:00+01:00,"PM2.5,PM10,NOx,NO2,NO,CO",59.93231,10.72455
1169,Oslo,Loallmenningen,2021-09-06T09:00:00+01:00,"PM2.5,PM10,PM1,NOx,NO2,NO",59.903095,10.758408
11,Oslo,Manglerud,2021-09-06T09:00:00+01:00,"PM2.5,PM10,NOx,NO2,NO",59.89864,10.8149
163,Oslo,"Rv 4, Aker sykehus",2021-09-06T09:00:00+01:00,"PM2.5,PM10,NOx,NO2,NO",59.94103,10.79803
12,Oslo,Skøyen,2021-09-06T09:00:00+01:00,"PM2.5,PM10,PM10",59.91975,10.68973
504,Oslo,Smestad,2021-09-06T09:00:00+01:00,"PM2.5,PM2.5,PM10,PM10,NOx,NOx,NO2,NO2,NO,NO",59.9325,10.66987
303,Oslo,Sofienbergparken,2021-09-06T09:00:00+01:00,"SO2,PM2.5,PM10,O3,NOx,NO2,NO",59.92305,10.76574
1172,Oslo,Spikersuppa,2021-09-06T08:00:00+01:00,"PM2.5,PM10",59.914051,10.735978
1173,Oslo,Vahl skole,2021-09-06T09:00:00+01:00,"PM2.5,PM10",59.9169444,10.766
